コード,銘柄名,市場,理由数,該当理由,適時開示タイトル
3361,トーエル,,1,適時開示,監査等委員である社外取締役との責任限定契約締結に関するお知らせ
3799,キーウェア,,1,適時開示,株主優待の一部内容変更（優待品目の変更）に関するお知らせ
4092,日本化,,1,適時開示,自己株式取得に係る事項の決定に関するお知らせ / 配当予想の修正に関するお知らせ
4212,積水樹脂,,1,適時開示,自己株式取得に係る事項の一部変更(取得枠の拡大)に関するお知らせ / 2027年３月期 第２四半期(中間期)及び通期連結業績予想の修正、並びに中間及び期末配当予想の修正(増配)に関するお知らせ
4492,ゼネテック,,1,適時開示,株式会社クラステクノロジーの株式の取得（子会社化）に関するお知らせ
523A,Ｇ－セイワＨＤ,,1,適時開示,名古屋証券取引所ネクスト市場への重複上場承認に関するお知らせ
5698,エンビプロＨＤ,,1,適時開示,業績予想及び配当予想の修正（増配）に関するお知らせ
7241,フタバ産,,1,適時開示,株主優待制度の導入に関するお知らせ
7575,日本ライフライン,,1,適時開示,配当予想の修正（中間記念配当）に関するお知らせ
8424,芙蓉リース,,1,適時開示,三井住友トラスト・パナソニックファイナンス株式会社の共同事業化および株式取得（持分法適用関連会社化）に関する契約締結のお知らせ
